model,split,split_title,condition_index,condition_group,condition_label,aigc_recall,auroc,average_precision,balanced_accuracy,brier,ece_15,false_positive_rate,fn,fp,macro_f1,mean_forensic_gate_fraction,mean_semantic_gate_fraction,n,real_specificity,threshold,tn,tp,tpr_at_fpr_1pct,tpr_at_fpr_5pct,transform,transform_name,transform_params
b0,exact_seen_generator,External exact-seen generator,0,clean,Clean,0.89,0.7933135,0.7530424392965857,0.7030000000000001,0.4868171215057373,0.4916569745838642,0.484,110,484,0.6922378659338404,,,2000,0.516,0.99365234375,516,890,0.0,0.074,clean,clean,{}
b0,exact_seen_generator,External exact-seen generator,1,legacy_single_stage,JPEG Q90,0.892,0.7945239999999999,0.755598410155832,0.7055,0.486719012260437,0.4915944800078868,0.481,108,481,0.6948875007737891,,,2000,0.519,0.99365234375,519,892,0.0,0.078,jpeg__quality=90,jpeg,"{""quality"":90}"
b0,exact_seen_generator,External exact-seen generator,2,legacy_single_stage,JPEG Q70,0.89,0.789306,0.7493743317637545,0.6895,0.4879196584224701,0.4922697715759277,0.511,110,511,0.6764950188828451,,,2000,0.489,0.99365234375,489,890,0.0,0.078,jpeg__quality=70,jpeg,"{""quality"":70}"
b0,exact_seen_generator,External exact-seen generator,3,legacy_single_stage,JPEG Q50,0.894,0.7833990000000001,0.742740567618671,0.681,0.4890509247779846,0.4929204356968403,0.532,106,532,0.6658394709578884,,,2000,0.468,0.99365234375,468,894,0.0,0.079,jpeg__quality=50,jpeg,"{""quality"":50}"
b0,exact_seen_generator,External exact-seen generator,4,legacy_single_stage,JPEG Q30,0.908,0.770347,0.7306143987470043,0.6675,0.49039775133132935,0.49368918627500535,0.573,92,573,0.6470874498724871,,,2000,0.427,0.99365234375,427,908,0.0,0.079,jpeg__quality=30,jpeg,"{""quality"":30}"
b0,exact_seen_generator,External exact-seen generator,5,legacy_single_stage,Gaussian blur sigma=0.5,0.893,0.789153,0.7496138941133677,0.6895,0.48783373832702637,0.49222897902131085,0.514,107,514,0.6760859921274813,,,2000,0.486,0.99365234375,486,893,0.0,0.08,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}"
b0,exact_seen_generator,External exact-seen generator,6,legacy_single_stage,Gaussian blur sigma=1.0,0.921,0.7440515,0.6983650434739961,0.643,0.4925296902656555,0.49491578656435004,0.635,79,635,0.6130987216001456,,,2000,0.365,0.99365234375,365,921,0.0,0.086,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}"
b0,exact_seen_generator,External exact-seen generator,7,legacy_single_stage,Gaussian blur sigma=2.0,0.811,0.6932984999999999,0.6475278343768605,0.649,0.49018916487693787,0.4927511911988258,0.513,189,513,0.639540090125247,,,2000,0.487,0.99365234375,487,811,0.031,0.031,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}"
b0,exact_seen_generator,External exact-seen generator,8,legacy_single_stage,Resize 0.5 bicubic,0.939,0.7426020000000001,0.6914867541336308,0.6275,0.49332016706466675,0.49549219083786017,0.684,61,684,0.5874714240901737,,,2000,0.316,0.99365234375,316,939,0.0,0.108,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}"
b0,exact_seen_generator,External exact-seen generator,9,legacy_single_stage,Resize 0.25 bilinear,0.716,0.6845604999999999,0.6342147362552946,0.6519999999999999,0.4868142008781433,0.4901508808135987,0.412,284,412,0.650568729516098,,,2000,0.588,0.99365234375,588,716,0.02,0.02,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}"
