distribution,row_json
class_counts,"{""class"": ""Real"", ""class_order"": 0, ""count"": 9000, ""role"": ""Training"", ""share_percent"": 50.0, ""split"": ""Train"", ""split_order"": 0}"
class_counts,"{""class"": ""AIGI"", ""class_order"": 1, ""count"": 9000, ""role"": ""Training"", ""share_percent"": 50.0, ""split"": ""Train"", ""split_order"": 0}"
class_counts,"{""class"": ""Real"", ""class_order"": 0, ""count"": 1000, ""role"": ""Checkpoint validation"", ""share_percent"": 50.0, ""split"": ""Internal unseen-generator val"", ""split_order"": 1}"
class_counts,"{""class"": ""AIGI"", ""class_order"": 1, ""count"": 1000, ""role"": ""Checkpoint validation"", ""share_percent"": 50.0, ""split"": ""Internal unseen-generator val"", ""split_order"": 1}"
class_counts,"{""class"": ""Real"", ""class_order"": 0, ""count"": 1000, ""role"": ""External validation"", ""share_percent"": 50.0, ""split"": ""External exact-seen val"", ""split_order"": 2}"
class_counts,"{""class"": ""AIGI"", ""class_order"": 1, ""count"": 1000, ""role"": ""External validation"", ""share_percent"": 50.0, ""split"": ""External exact-seen val"", ""split_order"": 2}"
class_counts,"{""class"": ""Real"", ""class_order"": 0, ""count"": 250, ""role"": ""Hard validation"", ""share_percent"": 50.0, ""split"": ""Hard Hourglass val"", ""split_order"": 3}"
class_counts,"{""class"": ""AIGI"", ""class_order"": 1, ""count"": 250, ""role"": ""Hard validation"", ""share_percent"": 50.0, ""split"": ""Hard Hourglass val"", ""split_order"": 3}"
class_counts,"{""class"": ""Real"", ""class_order"": 0, ""count"": 250, ""role"": ""Hard validation"", ""share_percent"": 50.0, ""split"": ""Hard DFGAN val"", ""split_order"": 4}"
class_counts,"{""class"": ""AIGI"", ""class_order"": 1, ""count"": 250, ""role"": ""Hard validation"", ""share_percent"": 50.0, ""split"": ""Hard DFGAN val"", ""split_order"": 4}"
class_counts,"{""class"": ""Real"", ""class_order"": 0, ""count"": 250, ""role"": ""Hard validation"", ""share_percent"": 50.0, ""split"": ""Hard GALIP val"", ""split_order"": 5}"
class_counts,"{""class"": ""AIGI"", ""class_order"": 1, ""count"": 250, ""role"": ""Hard validation"", ""share_percent"": 50.0, ""split"": ""Hard GALIP val"", ""split_order"": 5}"
class_counts,"{""class"": ""Real"", ""class_order"": 0, ""count"": 1000, ""role"": ""External test"", ""share_percent"": 50.0, ""split"": ""External seen-family test"", ""split_order"": 6}"
class_counts,"{""class"": ""AIGI"", ""class_order"": 1, ""count"": 1000, ""role"": ""External test"", ""share_percent"": 50.0, ""split"": ""External seen-family test"", ""split_order"": 6}"
class_counts,"{""class"": ""Real"", ""class_order"": 0, ""count"": 1000, ""role"": ""External test"", ""share_percent"": 50.0, ""split"": ""External unseen-family test"", ""split_order"": 7}"
class_counts,"{""class"": ""AIGI"", ""class_order"": 1, ""count"": 1000, ""role"": ""External test"", ""share_percent"": 50.0, ""split"": ""External unseen-family test"", ""split_order"": 7}"
architecture_counts,"{""aigi_count"": 20, ""architecture"": ""GAN"", ""architecture_order"": 0, ""share_percent"": 0.2222, ""split"": ""Train"", ""split_order"": 0}"
architecture_counts,"{""aigi_count"": 8970, ""architecture"": ""LatDiff"", ""architecture_order"": 1, ""share_percent"": 99.6667, ""split"": ""Train"", ""split_order"": 0}"
architecture_counts,"{""aigi_count"": 10, ""architecture"": ""PixDiff"", ""architecture_order"": 2, ""share_percent"": 0.1111, ""split"": ""Train"", ""split_order"": 0}"
architecture_counts,"{""aigi_count"": 1000, ""architecture"": ""LatDiff"", ""architecture_order"": 0, ""share_percent"": 100.0, ""split"": ""Internal unseen-generator val"", ""split_order"": 1}"
architecture_counts,"{""aigi_count"": 1000, ""architecture"": ""LatDiff"", ""architecture_order"": 0, ""share_percent"": 100.0, ""split"": ""External exact-seen val"", ""split_order"": 2}"
architecture_counts,"{""aigi_count"": 250, ""architecture"": ""PixDiff"", ""architecture_order"": 0, ""share_percent"": 100.0, ""split"": ""Hard Hourglass val"", ""split_order"": 3}"
architecture_counts,"{""aigi_count"": 250, ""architecture"": ""GAN"", ""architecture_order"": 0, ""share_percent"": 100.0, ""split"": ""Hard DFGAN val"", ""split_order"": 4}"
architecture_counts,"{""aigi_count"": 250, ""architecture"": ""GAN"", ""architecture_order"": 0, ""share_percent"": 100.0, ""split"": ""Hard GALIP val"", ""split_order"": 5}"
architecture_counts,"{""aigi_count"": 222, ""architecture"": ""GAN"", ""architecture_order"": 0, ""share_percent"": 22.2, ""split"": ""External seen-family test"", ""split_order"": 6}"
architecture_counts,"{""aigi_count"": 667, ""architecture"": ""LatDiff"", ""architecture_order"": 1, ""share_percent"": 66.7, ""split"": ""External seen-family test"", ""split_order"": 6}"
architecture_counts,"{""aigi_count"": 111, ""architecture"": ""PixDiff"", ""architecture_order"": 2, ""share_percent"": 11.1, ""split"": ""External seen-family test"", ""split_order"": 6}"
architecture_counts,"{""aigi_count"": 917, ""architecture"": ""Commercial"", ""architecture_order"": 0, ""share_percent"": 91.7, ""split"": ""External unseen-family test"", ""split_order"": 7}"
architecture_counts,"{""aigi_count"": 83, ""architecture"": ""Other"", ""architecture_order"": 1, ""share_percent"": 8.3, ""split"": ""External unseen-family test"", ""split_order"": 7}"
format_counts,"{""count"": 3993, ""format"": ""JPEG"", ""format_order"": 0, ""share_percent"": 22.1833, ""split"": ""Train"", ""split_order"": 0}"
format_counts,"{""count"": 14007, ""format"": ""PNG"", ""format_order"": 1, ""share_percent"": 77.8167, ""split"": ""Train"", ""split_order"": 0}"
format_counts,"{""count"": 451, ""format"": ""JPEG"", ""format_order"": 0, ""share_percent"": 22.55, ""split"": ""Internal unseen-generator val"", ""split_order"": 1}"
format_counts,"{""count"": 1549, ""format"": ""PNG"", ""format_order"": 1, ""share_percent"": 77.45, ""split"": ""Internal unseen-generator val"", ""split_order"": 1}"
format_counts,"{""count"": 625, ""format"": ""JPEG"", ""format_order"": 0, ""share_percent"": 31.25, ""split"": ""External exact-seen val"", ""split_order"": 2}"
format_counts,"{""count"": 1375, ""format"": ""PNG"", ""format_order"": 1, ""share_percent"": 68.75, ""split"": ""External exact-seen val"", ""split_order"": 2}"
format_counts,"{""count"": 144, ""format"": ""JPEG"", ""format_order"": 0, ""share_percent"": 28.8, ""split"": ""Hard Hourglass val"", ""split_order"": 3}"
format_counts,"{""count"": 260, ""format"": ""PNG"", ""format_order"": 1, ""share_percent"": 52.0, ""split"": ""Hard Hourglass val"", ""split_order"": 3}"
format_counts,"{""count"": 94, ""format"": ""TIFF"", ""format_order"": 2, ""share_percent"": 18.8, ""split"": ""Hard Hourglass val"", ""split_order"": 3}"
format_counts,"{""count"": 2, ""format"": ""WEBP"", ""format_order"": 3, ""share_percent"": 0.4, ""split"": ""Hard Hourglass val"", ""split_order"": 3}"
format_counts,"{""count"": 144, ""format"": ""JPEG"", ""format_order"": 0, ""share_percent"": 28.8, ""split"": ""Hard DFGAN val"", ""split_order"": 4}"
format_counts,"{""count"": 260, ""format"": ""PNG"", ""format_order"": 1, ""share_percent"": 52.0, ""split"": ""Hard DFGAN val"", ""split_order"": 4}"
format_counts,"{""count"": 94, ""format"": ""TIFF"", ""format_order"": 2, ""share_percent"": 18.8, ""split"": ""Hard DFGAN val"", ""split_order"": 4}"
format_counts,"{""count"": 2, ""format"": ""WEBP"", ""format_order"": 3, ""share_percent"": 0.4, ""split"": ""Hard DFGAN val"", ""split_order"": 4}"
format_counts,"{""count"": 144, ""format"": ""JPEG"", ""format_order"": 0, ""share_percent"": 28.8, ""split"": ""Hard GALIP val"", ""split_order"": 5}"
format_counts,"{""count"": 260, ""format"": ""PNG"", ""format_order"": 1, ""share_percent"": 52.0, ""split"": ""Hard GALIP val"", ""split_order"": 5}"
format_counts,"{""count"": 94, ""format"": ""TIFF"", ""format_order"": 2, ""share_percent"": 18.8, ""split"": ""Hard GALIP val"", ""split_order"": 5}"
format_counts,"{""count"": 2, ""format"": ""WEBP"", ""format_order"": 3, ""share_percent"": 0.4, ""split"": ""Hard GALIP val"", ""split_order"": 5}"
format_counts,"{""count"": 482, ""format"": ""JPEG"", ""format_order"": 0, ""share_percent"": 24.1, ""split"": ""External seen-family test"", ""split_order"": 6}"
format_counts,"{""count"": 1263, ""format"": ""PNG"", ""format_order"": 1, ""share_percent"": 63.15, ""split"": ""External seen-family test"", ""split_order"": 6}"
format_counts,"{""count"": 250, ""format"": ""TIFF"", ""format_order"": 2, ""share_percent"": 12.5, ""split"": ""External seen-family test"", ""split_order"": 6}"
format_counts,"{""count"": 5, ""format"": ""WEBP"", ""format_order"": 3, ""share_percent"": 0.25, ""split"": ""External seen-family test"", ""split_order"": 6}"
format_counts,"{""count"": 650, ""format"": ""JPEG"", ""format_order"": 0, ""share_percent"": 32.5, ""split"": ""External unseen-family test"", ""split_order"": 7}"
format_counts,"{""count"": 1097, ""format"": ""PNG"", ""format_order"": 1, ""share_percent"": 54.85, ""split"": ""External unseen-family test"", ""split_order"": 7}"
format_counts,"{""count"": 250, ""format"": ""TIFF"", ""format_order"": 2, ""share_percent"": 12.5, ""split"": ""External unseen-family test"", ""split_order"": 7}"
format_counts,"{""count"": 3, ""format"": ""WEBP"", ""format_order"": 3, ""share_percent"": 0.15, ""split"": ""External unseen-family test"", ""split_order"": 7}"
real_source_counts,"{""real_count"": 9000, ""real_source"": ""UNSPECIFIED"", ""share_percent"": 100.0, ""source_order"": 0, ""split"": ""Train"", ""split_order"": 0}"
real_source_counts,"{""real_count"": 1000, ""real_source"": ""UNSPECIFIED"", ""share_percent"": 100.0, ""source_order"": 0, ""split"": ""Internal unseen-generator val"", ""split_order"": 1}"
real_source_counts,"{""real_count"": 1000, ""real_source"": ""ImageNet"", ""share_percent"": 100.0, ""source_order"": 0, ""split"": ""External exact-seen val"", ""split_order"": 2}"
real_source_counts,"{""real_count"": 29, ""real_source"": ""COCO"", ""share_percent"": 11.6, ""source_order"": 0, ""split"": ""Hard Hourglass val"", ""split_order"": 3}"
